p_0,v_0,t_0,p_1,v_1,t_1,p_2,v_2,t_2,p_3,v_3,t_3,p_4,v_4,t_4,p_5,v_5,t_5
5.390178811,79.42255365,0.307248322,3.943084052,77.43050363,0.310174497,4.852081017,78.17717595,0.301395973,5.673747126,79.42804966,0.295543624,5.248963126,79.62864557,0.295543624,4.367726767,76.98104212,0.295543624
5.444815414,79.4889726,0.310067114,3.951832693,77.42803809,0.313020134,4.886765135,78.21955006,0.304161074,5.711867053,79.49832633,0.298255034,5.291402187,79.67516682,0.298255034,4.443968009,77.01785727,0.298255034
5.509713586,79.54887354,0.312885906,3.977220319,77.41702311,0.315865772,4.953902904,78.23896446,0.306926174,5.733001385,79.56181297,0.300966443,5.311690001,79.71305581,0.300966443,4.522928237,77.04850896,0.300966443
5.572478298,79.60090222,0.315704698,4.016234836,77.39343024,0.318711409,5.02150804,78.24357341,0.309691275,5.72973816,79.61702941,0.303677852,5.302364434,79.74074563,0.303677852,4.599387804,77.07186427,0.303677852
5.583675861,79.64224038,0.31852349,4.052014397,77.36224381,0.321557047,5.083961751,78.23488928,0.312456376,5.713692726,79.66124038,0.306389262,5.265274226,79.75602771,0.306389262,4.64884815,77.08609891,0.306389262
5.558893431,79.67652031,0.321342282,4.081517558,77.32362587,0.324402685,5.118854147,78.20651215,0.315221477,5.707334789,79.69903299,0.309100671,5.225705246,79.76458269,0.309100671,4.678700624,77.09523131,0.309100671
5.500783257,79.70371837,0.324161074,4.092572556,77.27492209,0.327248322,5.132666278,78.16196462,0.317986577,5.717675791,79.72960444,0.311812081,5.187987155,79.76574135,0.311812081,4.685185984,77.09869664,0.311812081
5.436276851,79.71946631,0.326979866,4.092929435,77.21878177,0.33009396,5.139602028,78.10539557,0.320751678,5.768573632,79.74914264,0.31452349,5.183819862,79.75680406,0.31452349,4.66689219,77.09402905,0.31452349
5.408731017,79.72775622,0.329798658,4.092831297,77.15736511,0.332939597,5.150247076,78.03360021,0.323516779,5.827709029,79.76260594,0.317234899,5.203230042,79.74295312,0.317234899,4.644181622,77.085177,0.317234899
5.416867427,79.7294572,0.33261745,4.099600551,77.09066033,0.335785235,5.185177608,77.94637017,0.326281879,5.893082582,79.76978812,0.319946309,5.247843386,79.72412609,0.319946309,4.618396415,77.07204592,0.319946309
