p_0,v_0,t_0,p_1,v_1,t_1,p_2,v_2,t_2,p_3,v_3,t_3,p_4,v_4,t_4,p_5,v_5,t_5,p_6,v_6,t_6
2.878925083,87.01179142,0.24104698,4.650576137,84.41579712,0.233208054,4.135031725,80.81709019,0.221449664,1.593723149,83.99132354,0.223409396,3.751686722,82.74654042,0.217530201,3.30656404,80.83719071,0.21557047,2.757537597,73.83060421,0.221449664
2.866957987,87.49532999,0.244348993,4.645595572,85.03124656,0.236402685,4.130793944,81.41769274,0.224483221,1.672290883,84.58503588,0.226469799,3.763988544,83.42691275,0.220510067,3.31040382,81.40753223,0.21852349,2.628697524,74.47253064,0.224483221
2.886390697,87.92600963,0.247651007,4.678814202,85.60181037,0.239597315,4.131040857,81.9626857,0.227516779,1.765984728,85.13553762,0.229530201,3.849511621,84.05353737,0.223489933,3.363717434,81.95339053,0.22147651,2.499605767,75.10951138,0.227516779
2.922133222,88.30937804,0.25095302,4.747184268,86.12899296,0.242791946,4.154767963,82.45681027,0.230550336,1.876650676,85.64348505,0.232590604,3.943227816,84.62726899,0.226469799,3.458430227,82.47559772,0.22442953,2.419754364,75.7399245,0.230550336
2.96799031,88.65555387,0.254255034,4.833563225,86.62079486,0.245986577,4.190499469,82.91332674,0.233583893,2.009127052,86.10299852,0.235651007,4.015041479,85.16003828,0.229449664,3.564840611,82.96840148,0.22738255,2.400251612,76.36373931,0.233583893
3.030892964,88.96809242,0.257557047,4.924560624,87.07890721,0.249181208,4.231206989,83.33494876,0.23661745,2.139606966,86.51133038,0.238711409,4.05864964,85.65261059,0.23242953,3.642560925,83.43610849,0.23033557,2.445308884,76.97998256,0.23661745
3.118268508,89.25010386,0.26085906,5.005841247,87.50514976,0.252375839,4.264326295,83.72019944,0.239651007,2.238960305,86.88107894,0.241771812,4.082663442,86.09477732,0.235409396,3.706560607,83.88435332,0.233288591,2.560271737,77.58577272,0.239651007
3.23336409,89.50413496,0.264161074,5.055792447,87.89664747,0.25557047,4.292907655,84.07236863,0.242684564,2.293682935,87.21330592,0.244832215,4.147275258,86.49238793,0.238389262,3.766018124,84.31378652,0.236241611,2.69634604,78.17693023,0.242684564
3.35498787,89.72676142,0.267463087,5.071469388,88.25697937,0.258765101,4.334823019,84.40365761,0.245718121,2.28902017,87.50737415,0.247892617,4.260135491,86.85516738,0.241369128,3.863444612,84.7180495,0.239194631,2.803902854,78.75453654,0.245718121
3.434477273,89.92238896,0.270765101,5.072786743,88.59189327,0.261959732,4.395859544,84.71689695,0.248751678,2.229109973,87.75417638,0.25095302,4.421760147,87.18436318,0.244348993,3.995346714,85.10359269,0.242147651,2.865098627,79.31702552,0.248751678
3.452668115,90.09227289,0.274067114,5.07515632,88.90229021,0.265154362,4.482580168,85.01387742,0.251785235,2.167786977,87.96978703,0.254013423,4.612091319,87.47162012,0.247328859,4.132186962,85.47304428,0.245100671,2.858215199,79.86069736,0.251785235
3.412698971,90.23593707,0.277369128,5.092692242,89.18889416,0.268348993,4.564583247,85.29746029,0.254818792,2.122072861,88.15607335,0.257073826,4.760612694,87.72601939,0.250308725,4.253727128,85.82680752,0.248053691,2.798874185,80.37712729,0.254818792
3.333734633,90.3529215,0.280671141,5.136675735,89.4479575,0.271543624,4.608719673,85.57531764,0.257852349,2.106381192,88.31494469,0.260134228,4.856455975,87.95496916,0.253288591,4.275197448,86.1578175,0.251006711,2.743596125,80.87149271,0.257852349
3.248163005,90.44264589,0.283973154,5.188024898,89.68127385,0.274738255,4.607309833,85.84966068,0.260885906,2.12817591,88.44072798,0.263194631,4.894045613,88.16025006,0.256268456,4.222758283,86.47411143,0.253959732,2.710775465,81.34299312,0.260885906
3.191992985,90.4990596,0.287275168,5.227055529,89.89262408,0.277932886,4.553466976,86.12275723,0.263919463,2.151134235,88.54486272,0.266255034,4.880470828,88.33722128,0.259248322,4.121640431,86.77639076,0.256912752,2.71993751,81.78996396,0.263919463
3.154716287,90.53068625,0.290577181,5.245818165,90.08237313,0.281127517,4.476368986,86.39864682,0.26695302,2.162337531,88.63072561,0.269315436,4.87425942,88.49476521,0.262228188,3.995447686,87.06401597,0.259865772,2.782906888,82.20307573,0.26695302
3.121108944,90.53967983,0.293879195,5.242279839,90.25085859,0.284322148,4.426074463,86.67831688,0.269986577,2.154427341,88.70014484,0.272375839,4.883873625,88.63703221,0.265208054,3.922772043,87.33245239,0.262818792,2.863336062,82.59346128,0.269986577
3.082377873,90.52868924,0.297181208,5.226664387,90.39425179,0.287516779,4.411076704,86.96208892,0.273020134,2.125311377,88.75198031,0.275436242,4.912652918,88.76540164,0.268187919,3.905879688,87.58878852,0.265771812,2.952724309,82.96204004,0.273020134
3.038052622,90.50081131,0.300483221,5.222595565,90.5146708,0.290711409,4.437689011,87.25019693,0.276053691,2.099130716,88.79094616,0.278496644,4.935451283,88.87737446,0.271167785,3.93611808,87.83358427,0.268724832,3.043000782,83.30977003,0.276053691
3.002255539,90.4589227,0.303785235,5.234199152,90.61577579,0.29390604,4.491256257,87.54347396,0.279087248,2.086019641,88.8211109,0.281557047,4.915793279,88.97947546,0.274147651,4.002141296,88.06582948,0.271677852,3.124442873,83.63041506,0.279087248
2.999643798,90.40815872,0.307087248,5.258026705,90.69870243,0.297100671,4.534992458,87.83860694,0.282120805,2.089155796,88.84406226,0.28461745,4.856243441,89.07389688,0.277127517,4.052910906,88.28562337,0.274630872,3.186557578,83.93389767,0.282120805
3.026549439,90.35529996,0.310389262,5.286534205,90.76483949,0.300295302,4.568025754,88.13412321,0.285154362,2.109179477,88.8609935,0.287677852,4.758013648,89.16172286,0.280107383,4.076407441,88.49808716,0.277583893,3.218089261,84.22163667,0.285154362
3.070875924,90.30474149,0.313691275,5.304586174,90.81348848,0.303489933,4.591322502,88.42860497,0.288187919,2.133893335,88.87451532,0.290738255,4.655198979,89.24250162,0.283087248,4.072434628,88.70414837,0.280536913,3.208886614,84.49453491,0.288187919
3.116681203,90.26080803,0.316993289,5.307672524,90.84959963,0.306684564,4.626718039,88.71766328,0.291221477,2.158396655,88.88736191,0.293798658,4.595170988,89.31959716,0.286067114,4.043672008,88.90398023,0.283489933,3.131705649,84.74871756,0.291221477
3.147016047,90.22768828,0.320295302,5.304791548,90.87736878,0.309879195,4.686415324,88.99836862,0.294255034,2.184209879,88.90075763,0.29685906,4.581098684,89.39365766,0.28904698,4.018372002,89.09976007,0.286442953,3.024753213,84.98915238,0.294255034
3.143205464,90.21245239,0.323597315,5.304299564,90.89927774,0.313073826,4.761022072,89.26892166,0.297288591,2.214750066,88.91605322,0.299919463,4.617265929,89.46509152,0.292026846,4.004491436,89.29326302,0.289395973,2.918905298,85.21743829,0.297288591
3.103673699,90.21961468,0.326899329,5.314717108,90.91788178,0.316268456,4.842077801,89.52720765,0.300322148,2.256808282,88.93702644,0.302979866,4.683939634,89.53366515,0.295006711,4.004695763,89.48494333,0.292348993,2.836892864,85.43395717,0.300322148
3.040943489,90.25035583,0.330201342,5.345545273,90.93680792,0.319463087,4.903105171,89.76508958,0.303355705,2.298632299,88.96443646,0.306040268,4.730548498,89.60128899,0.297986577,4.020973797,89.67493216,0.295302013,2.825759859,85.63580883,0.303355705
2.969066675,90.30746973,0.333503356,5.387926581,90.96057442,0.322657718,4.929574973,89.98116847,0.306389262,2.332470976,88.99988533,0.309100671,4.751121211,89.66863144,0.300966443,4.042663112,89.86407839,0.298255034,2.878086405,85.82590351,0.306389262
2.904875412,90.3936052,0.336805369,5.430461971,90.99173107,0.325852349,4.931439165,90.17682593,0.309422819,2.351368981,89.04502355,0.312161074,4.738352821,89.73637703,0.303946309,4.067959531,90.05296711,0.301208054,2.966782039,86.00699215,0.309422819
2.866221614,90.51127112,0.340107383,5.466422826,91.03270678,0.32904698,4.915511987,90.35116653,0.312456376,2.348513995,89.10762162,0.315221477,4.711022662,89.80721981,0.306926174,4.096642496,90.24196274,0.304161074,3.077351734,86.18017212,0.312456376
2.875416061,90.67121305,0.343409396,5.491312786,91.08579777,0.332241611,4.896842289,90.49809488,0.315489933,2.34945248,89.18791511,0.318281879,4.705524634,89.88212354,0.30990604,4.135649463,90.43272921,0.307114094,3.188341367,86.34599789,0.315489933
2.916756193,90.86967427,0.346711409,5.506120298,91.15728485,0.335436242,4.89505102,90.61914174,0.31852349,2.368124512,89.28707795,0.321342282,4.727670405,89.96229667,0.312885906,4.184789778,90.62680548,0.310067114,3.284579866,86.5087448,0.31852349
2.969286532,91.10668768,0.350013423,5.524174787,91.24814814,0.338630872,4.910688428,90.72090683,0.321557047,2.41271107,89.40722481,0.324402685,4.785728032,90.04959271,0.315865772,4.241035545,90.82527954,0.313020134,3.365766208,86.67185031,0.321557047
3.01550538,91.38354436,0.353315436,5.550464872,91.35849403,0.341825503,4.943789699,90.80524076,0.324590604,2.489454271,89.55746063,0.327463087,4.866898028,90.15128908,0.318845638,4.30251569,91.02939861,0.315973154,3.429054192,86.83735105,0.324590604
